name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Cng petrol pump,"13, E Spur Tank Rd, M.S. Nagar, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031",,,31.0,3.6,Fuel supplier,
"Bharat Petroleum, Petrol Pump -Gemini Auto Services","RC Gem, Siruvallur High Rd, Jagannathan Colony, Nungambakkam, Chennai, Tamil Nadu 600034",,,197.0,4.0,Petrol Pump, Closes 10:30pm
IndianOil,"L 1033, 122/7, NH Service Road, Chennai, Tamil Nadu 600034",locator.iocl.com,073585 61882,140.0,3.6,Petrol Pump, Closes 10pm
Go Gas LPG Station(Bunk)nungambakam,"365R+9XG, Jambulingam St, Nungambakkam, Chennai, Tamil Nadu 600034",gogas.co,076202 50251,26.0,3.5,Petrol Pump,
"Bharat Petroleum, Petrol Pump -The Elite Petrol Service","27X3+P6W, Cathedral Rd, beside Bharat petroleum pum, Ellaiamman Colony, Teynampet, Chennai, Tamil Nadu 600006",,,417.0,4.0,Petrol Pump,
Kumaran Service Station HP Petrol Pump,"Poonamallee High Rd, Dasspuram, Chetpet, Chennai, Tamil Nadu 600010",,,85.0,4.0,Petrol Pump,
IndianOil,"No 89, Lk 1035/122, Lock, 04687, Spur Tank road, Chetpet, Chennai, Tamil Nadu 600031",locator.iocl.com,095661 58878,341.0,3.9,Petrol Pump, Closes 11:30pm
HP Fuel Station MSHSD AUTO CAR CARE Pantheon Road,"36, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",,044 4853 1924,249.0,4.0,Petrol Pump, Closes 11pm
Hindustan Petroleum Corporation Limited,"260, EVR Periyar Salai, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,099401 49001,188.0,4.0,Petrol Pump,
KOHINOOR -Bharat Petroleum Fuel Station,"Part of Ground floor, Door No. 225, 3, Anna Salai, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600002",,,401.0,4.0,Petrol Pump,
"Bharat Petroleum, Petrol Pump -S.L.Narasimham","PH ROAD (DAILY THANTHI OFF, Chennai, Tamil Nadu 600084",bharatpetroleum.in,099405 44806,434.0,4.1,Petrol Pump,
Fortune Gas,"19A, Pushpa Nagar Main Rd, Pushpa Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",,,,,Petrol Pump,
Hindustan Petroleum Corporation Limited,"737, Poonamallee High Rd, near PACHAIYAPPAS COLLEGE, Thandavaraya, Shenoy Nagar, Chennai, Tamil Nadu 600030",petrolpump.hpretail.in,098408 84517,218.0,3.8,Petrol Pump,
Bharat Petroleum Petrol Station,"No:6, Raja Annamalai Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",bharatpetroleum.com,1800 22 4344,105.0,3.8,Petrol Pump, Closes 10:30pm
Bharat Petroleum Fuel Station,"3724+4HJ, Avvai Shanmugham Salai, Gopalapuram, Chennai, Tamil Nadu 600086",bharatpetroleum.in,,204.0,4.0,Petrol Pump, Closes 11pm
"Bharat Petroleum, Petrol Pump -Uma Service Station","KODAMBAKKAM (OPP MEENAKSHI, Tamil Nadu 600024",,044 2375 0099,858.0,3.9,Petrol Pump,
IndianOil,"174E V R Periyar Salai, Kilpauk, Chetpet, Chennai, Tamil Nadu 600010",locator.iocl.com,097870 91700,107.0,4.0,Petrol Pump, Closes 11:30pm
Kuldevi Krupa petroleum,"365W+27W, Nageswara Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",,,,,Petrol Pump,
IndianOil,"Ground Floor, Egmore, Chennai, Tamil Nadu 600008",locator.iocl.com,090434 44566,409.0,3.9,Petrol Pump, Closes 11pm
GAS PLUS LPG STATION,"3798+GVR, 104, Adithanar Rd, Pudupet, Komaleeswaranpet, Egmore, Chennai, Tamil Nadu 600002",gasplus.in,096777 63959,46.0,4.3,Petrol Pump,
HP Fuel Station MSHSD AUTO CAR CARE Pantheon Road,"36, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",,044 4853 1924,249.0,4.0,Petrol Pump, Closes 11pm
GasPlus Auto LPG - Egmore,"12/3, Pantheon Rd, GasPlus, Egmore, Chennai, Tamil Nadu 600008",,,26.0,3.8,Petrol Pump,
"Bharat Petroleum, Petrol Pump -S.L.Narasimham","PH ROAD (DAILY THANTHI OFF, Chennai, Tamil Nadu 600084",bharatpetroleum.in,099405 44806,434.0,4.1,Petrol Pump,
AR-1 Petrol bunk,"600002, Pudupet, Komaleeswaranpet, Egmore, Chennai, Tamil Nadu 600002",,,2.0,4.0,Petrol Pump,
Cng petrol pump,"13, E Spur Tank Rd, M.S. Nagar, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031",,,31.0,3.6,Fuel supplier,
